UID,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy,FraudFound_P
3487,more than 30,1,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1994,Collision,0
13220,more than 30,1,5 years,26 to 30,No,No,External,more than 5,no change,1 vehicle,1996,All Perils,0
12401,more than 30,more than 4,more than 7,51 to 65,No,No,External,3 to 5,no change,1 vehicle,1996,Liability,0
3177,more than 30,none,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,All Perils,0
6013,more than 30,none,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision,0
1247,more than 30,more than 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability,0
5400,more than 30,none,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,All Perils,0
13087,more than 30,more than 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1996,Liability,1
5749,more than 30,none,7 years,51 to 65,No,No,External,3 to 5,no change,1 vehicle,1994,Collision,0
7252,more than 30,more than 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Collision,0
14132,more than 30,1,5 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1996,Collision,0
11570,more than 30,more than 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1996,Liability,0
2769,more than 30,1,5 years,26 to 30,No,No,External,none,no change,1 vehicle,1994,All Perils,0
7999,more than 30,2 to 4,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1995,Liability,0
6753,more than 30,2 to 4,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1995,Liability,0
756,more than 30,none,more than 7,over 65,No,No,External,more than 5,4 to 8 years,2 vehicles,1994,All Perils,0
1564,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability,0
13004,more than 30,none,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1996,Collision,0
12341,more than 30,none,7 years,31 to 35,No,No,External,none,no change,3 to 4,1996,Collision,0
2716,more than 30,none,6 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Collision,0
9954,more than 30,none,more than 7,41 to 50,No,No,External,more than 5,4 to 8 years,2 vehicles,1995,Collision,0
9453,more than 30,2 to 4,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1995,All Perils,0
11620,more than 30,more than 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Liability,0
4377,more than 30,2 to 4,7 years,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1994,Collision,1
2232,more than 30,2 to 4,7 years,36 to 40,Yes,No,External,3 to 5,no change,1 vehicle,1994,Collision,0
6375,more than 30,2 to 4,6 years,31 to 35,No,No,External,3 to 5,2 to 3 years,1 vehicle,1995,Collision,0
6893,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,All Perils,0
5122,more than 30,1,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,All Perils,0
13319,more than 30,none,new,16 to 17,No,No,External,none,no change,1 vehicle,1996,All Perils,0
9904,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,All Perils,0
10411,more than 30,more than 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Liability,0
5029,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,0
10299,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,Collision,0
13105,more than 30,2 to 4,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1996,All Perils,0
124,more than 30,none,6 years,26 to 30,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils,0
1815,more than 30,2 to 4,6 years,31 to 35,No,Yes,External,1 to 2,no change,1 vehicle,1994,Collision,0
6561,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,All Perils,0
10258,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,All Perils,0
8495,more than 30,1,6 years,51 to 65,No,No,External,none,no change,1 vehicle,1995,All Perils,1
13383,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,All Perils,0
2064,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision,0
14319,more than 30,1,7 years,51 to 65,No,No,External,none,no change,1 vehicle,1996,All Perils,0
12924,more than 30,1,more than 7,over 65,No,No,External,more than 5,no change,1 vehicle,1996,All Perils,0
387,more than 30,none,more than 7,over 65,No,No,External,more than 5,no change,1 vehicle,1994,Collision,0
13527,more than 30,none,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1996,All Perils,0
9031,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,All Perils,0
10156,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Collision,1
12008,more than 30,none,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,1996,All Perils,0
2121,more than 30,1,7 years,31 to 35,No,No,External,none,4 to 8 years,2 vehicles,1994,Liability,0
4970,more than 30,1,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision,0
11035,more than 30,more than 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,Liability,0
4763,more than 30,2 to 4,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1994,Liability,0
4102,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Collision,1
4344,more than 30,2 to 4,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Liability,0
4394,more than 30,more than 4,6 years,36 to 40,Yes,No,External,1 to 2,no change,1 vehicle,1994,Collision,0
13038,more than 30,1,7 years,36 to 40,No,No,External,more than 5,no change,3 to 4,1996,Collision,0
12051,more than 30,2 to 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1996,All Perils,1
13154,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Collision,0
13575,more than 30,none,7 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,1996,All Perils,0
2405,more than 30,2 to 4,5 years,26 to 30,No,No,External,1 to 2,no change,1 vehicle,1994,Liability,0
8275,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,All Perils,0
3970,more than 30,2 to 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,Collision,0
10422,more than 30,more than 4,6 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1995,Liability,0
6436,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,Collision,1
4568,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,0
13238,more than 30,1,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1996,Collision,0
2874,more than 30,1,more than 7,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils,0
7517,more than 30,2 to 4,more than 7,over 65,No,No,External,more than 5,no change,1 vehicle,1995,Collision,0
3733,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils,0
2643,more than 30,2 to 4,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1994,All Perils,0
1560,more than 30,2 to 4,6 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision,0
78,more than 30,2 to 4,5 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Liability,0
11976,more than 30,2 to 4,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1996,Liability,0
5100,more than 30,2 to 4,more than 7,over 65,No,No,External,more than 5,2 to 3 years,1 vehicle,1994,All Perils,0
259,more than 30,2 to 4,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,Liability,0
9555,more than 30,1,more than 7,over 65,No,No,External,none,1 year,2 vehicles,1995,All Perils,0
851,more than 30,2 to 4,4 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,0
10514,more than 30,none,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1995,Collision,0
15280,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1996,Collision,0
4347,more than 30,none,6 years,31 to 35,No,No,External,1 to 2,4 to 8 years,2 vehicles,1994,All Perils,1
12603,more than 30,none,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1996,All Perils,0
10443,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,All Perils,0
12365,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1996,All Perils,0
5328,more than 30,1,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils,0
7988,more than 30,1,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,All Perils,0
14487,more than 30,none,7 years,31 to 35,No,Yes,External,none,no change,1 vehicle,1996,Collision,0
9278,more than 30,1,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,All Perils,0
12295,more than 30,2 to 4,7 years,51 to 65,No,No,External,more than 5,no change,1 vehicle,1996,Collision,0
12316,more than 30,none,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1996,All Perils,0
10351,more than 30,2 to 4,7 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,1995,Liability,0
13092,more than 30,2 to 4,more than 7,51 to 65,No,No,External,3 to 5,no change,1 vehicle,1996,Liability,0
4525,more than 30,2 to 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,Liability,0
5250,more than 30,none,new,16 to 17,No,No,External,none,4 to 8 years,2 vehicles,1994,All Perils,0
2741,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision,0
1964,more than 30,none,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,0
4590,more than 30,1,7 years,36 to 40,No,No,External,none,2 to 3 years,1 vehicle,1994,Liability,0
1414,more than 30,2 to 4,6 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils,0
7664,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,All Perils,0
6715,more than 30,none,more than 7,51 to 65,No,No,External,1 to 2,no change,1 vehicle,1995,Liability,0
6495,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,Liability,0
8949,more than 30,2 to 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1995,Collision,0
1820,more than 30,none,6 years,31 to 35,No,No,External,3 to 5,1 year,1 vehicle,1994,Collision,0
13947,more than 30,none,more than 7,41 to 50,No,No,Internal,1 to 2,no change,1 vehicle,1996,Liability,0
8268,more than 30,more than 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1995,Collision,0
8297,more than 30,none,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1995,Liability,0
15314,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1996,Liability,0
625,more than 30,none,6 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision,0
6547,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,Liability,0
11143,more than 30,1,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1995,Collision,0
11923,more than 30,none,6 years,51 to 65,No,No,External,more than 5,no change,1 vehicle,1996,All Perils,0
5681,more than 30,none,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision,1
4014,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,0
10018,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,Liability,0
15079,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Collision,0
4384,more than 30,1,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision,0
7995,more than 30,none,6 years,31 to 35,No,No,External,none,no change,3 to 4,1995,Collision,0
12011,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Collision,0
8303,more than 30,2 to 4,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1995,Collision,0
1191,more than 30,1,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils,1
10764,more than 30,1,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Collision,0
13485,more than 30,none,more than 7,51 to 65,No,No,External,3 to 5,no change,1 vehicle,1996,Collision,0
10728,more than 30,1,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Collision,0
283,more than 30,1,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,Liability,0
2517,more than 30,more than 4,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,Liability,0
14493,more than 30,none,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1996,All Perils,0
12503,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Collision,1
6977,more than 30,none,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1995,All Perils,0
1688,more than 30,none,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,All Perils,1
5426,more than 30,2 to 4,5 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision,0
5641,more than 30,more than 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Liability,0
5813,more than 30,2 to 4,7 years,51 to 65,No,No,External,none,no change,1 vehicle,1994,All Perils,0
8555,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,Liability,0
13091,more than 30,none,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1996,Collision,0
14838,more than 30,more than 4,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1996,Liability,0
12149,more than 30,2 to 4,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,1996,All Perils,0
6819,more than 30,1,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Collision,0
1067,more than 30,2 to 4,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability,0
12510,more than 30,none,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1996,Collision,0
6749,more than 30,2 to 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1995,Collision,0
13150,more than 30,2 to 4,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Collision,0
10818,more than 30,2 to 4,5 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1995,Collision,0
6934,more than 30,2 to 4,7 years,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1995,Collision,0
6475,more than 30,2 to 4,5 years,26 to 30,No,No,External,more than 5,no change,1 vehicle,1995,All Perils,0
13442,more than 30,1,more than 7,over 65,No,No,External,3 to 5,no change,1 vehicle,1996,All Perils,0
9653,more than 30,2 to 4,6 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,Collision,0
12767,more than 30,2 to 4,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1996,Collision,0
1911,more than 30,1,6 years,31 to 35,No,No,External,1 to 2,1 year,2 vehicles,1994,Liability,0
10937,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,All Perils,0
4467,more than 30,2 to 4,6 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,All Perils,1
525,more than 30,none,more than 7,41 to 50,No,No,External,1 to 2,4 to 8 years,2 vehicles,1994,Collision,0
394,more than 30,1,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Collision,0
6018,more than 30,1,more than 7,over 65,Yes,No,External,none,no change,1 vehicle,1994,Collision,0
1553,more than 30,1,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Collision,0
4668,more than 30,more than 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability,0
9958,more than 30,2 to 4,6 years,51 to 65,No,No,External,more than 5,no change,1 vehicle,1995,Liability,0
14637,more than 30,none,7 years,36 to 40,No,No,External,1 to 2,2 to 3 years,3 to 4,1996,All Perils,0
11595,more than 30,1,7 years,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1996,Liability,0
1676,more than 30,none,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils,0
1901,more than 30,none,5 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,All Perils,0
10477,more than 30,more than 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,Liability,0
2079,more than 30,none,more than 7,51 to 65,No,No,External,3 to 5,4 to 8 years,2 vehicles,1994,All Perils,0
12431,more than 30,more than 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Collision,0
1948,more than 30,1,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,All Perils,0
9485,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,All Perils,0
11913,more than 30,1,7 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,1996,All Perils,0
14925,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1996,All Perils,0
4903,more than 30,none,6 years,26 to 30,No,No,External,none,no change,1 vehicle,1994,Collision,0
9970,more than 30,more than 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Liability,0
1340,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Liability,0
9971,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Collision,0
13179,more than 30,none,6 years,41 to 50,No,No,External,none,no change,1 vehicle,1996,Collision,0
4094,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils,1
2486,more than 30,none,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils,0
10932,more than 30,none,7 years,51 to 65,No,No,External,none,no change,1 vehicle,1995,Collision,1
2699,more than 30,2 to 4,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils,0
15099,more than 30,none,7 years,41 to 50,No,No,External,1 to 2,4 to 8 years,2 vehicles,1996,All Perils,0
6997,more than 30,1,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Collision,0
14045,more than 30,2 to 4,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1996,Liability,0
1027,more than 30,2 to 4,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils,0
11358,more than 30,1,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1996,All Perils,0
2636,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,All Perils,0
3158,more than 30,none,6 years,31 to 35,Yes,No,External,1 to 2,no change,1 vehicle,1994,All Perils,0
2428,more than 30,none,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1994,All Perils,0
1277,more than 30,1,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1994,Collision,0
3273,more than 30,more than 4,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,Liability,0
571,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,0
748,more than 30,2 to 4,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Liability,0
7838,more than 30,1,6 years,36 to 40,Yes,No,External,more than 5,no change,1 vehicle,1995,All Perils,0
5256,more than 30,more than 4,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Collision,0
9700,more than 30,1,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1995,Liability,0
4909,more than 30,none,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils,1
1338,more than 30,1,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Collision,1
1154,more than 30,1,3 years,26 to 30,No,No,External,none,no change,1 vehicle,1994,All Perils,0
6838,more than 30,more than 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1995,Liability,0
2709,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,4 to 8 years,2 vehicles,1994,All Perils,0
12283,more than 30,none,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1996,All Perils,0
10279,more than 30,none,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1995,All Perils,0
7216,more than 30,2 to 4,7 years,31 to 35,No,No,Internal,none,no change,3 to 4,1995,Collision,0
14213,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1996,Collision,0
5695,more than 30,2 to 4,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1994,Liability,0
4712,more than 30,none,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,0
64,more than 30,none,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision,0
6775,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Collision,0
3320,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Liability,0
2147,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,0
5525,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Collision,0
1240,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Liability,0
4263,more than 30,2 to 4,4 years,26 to 30,No,No,External,1 to 2,4 to 8 years,2 vehicles,1994,Liability,0
11947,more than 30,none,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1996,Liability,0
3204,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision,0
8450,more than 30,none,6 years,41 to 50,No,No,External,none,no change,1 vehicle,1995,Collision,0
7112,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Liability,0
8436,more than 30,2 to 4,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1995,Collision,0
11543,more than 30,more than 4,2 years,21 to 25,Yes,No,External,1 to 2,no change,1 vehicle,1996,Liability,0
5082,more than 30,1,7 years,31 to 35,No,No,External,none,4 to 8 years,2 vehicles,1994,Collision,0
14610,more than 30,none,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1996,All Perils,0
6779,more than 30,1,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1995,Liability,0
6112,more than 30,none,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Collision,0
8671,more than 30,none,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1995,All Perils,0
5305,more than 30,none,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision,0
1053,more than 30,none,2 years,18 to 20,No,No,External,1 to 2,no change,1 vehicle,1994,Collision,0
12016,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Collision,0
8786,more than 30,2 to 4,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Liability,0
6383,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1995,Liability,0
